Timestamp,Weighted_Price
2019-05-04,5694.984820152441
2019-05-05,5722.166836310575
2019-05-06,5656.92946773529
2019-05-07,5864.269775568942
2019-05-08,5844.480875511197
2019-05-09,6047.488290597907
2019-05-10,6290.828123699582
2019-05-11,6806.487470594301
2019-05-12,7154.955137212108
2019-05-13,7409.110545395542
2019-05-14,7992.089707485139
2019-05-15,8054.58795080882
2019-05-16,7993.425148022654
2019-05-17,7262.418007899236
2019-05-18,7325.731918952022
2019-05-19,7933.926815805219
2019-05-20,7906.096424482974
2019-05-21,7952.526758231085
2019-05-22,7890.294525895414
2019-05-23,7702.740478159249
2019-05-24,7983.34411674
2019-05-25,8046.300617381799
2019-05-26,8128.546958223459
2019-05-27,8784.562189371667
2019-05-28,8727.337766359069
2019-05-29,8648.244324281597
2019-05-30,8632.74396372243
2019-05-31,8351.777835872292
2019-06-01,8543.924060004676
2019-06-02,8670.265812880712
2019-06-03,8532.593172662378
2019-06-04,7850.979304918066
2019-06-05,7773.4777406099365
2019-06-06,7751.680285119097
2019-06-07,7938.729206254172
2019-06-08,7940.525334998871
2019-06-09,7798.498155120775
2019-06-10,7819.548636782073
2019-06-11,7896.83001328662
2019-06-12,8036.509587763997
2019-06-13,8169.588231822863
2019-06-14,8353.217492064301
2019-06-15,8727.687036371808
2019-06-16,9095.289101530438
2019-06-17,9235.84643250591
2019-06-18,9152.500069336693
2019-06-19,9148.013959014454
2019-06-20,9353.226485596455
2019-06-21,9801.486018448264
2019-06-22,10724.805004758333
2019-06-23,10746.900511013213
2019-06-24,10846.846268886111
2019-06-25,11315.817028152778
2019-06-26,12643.582684068057
2019-06-27,11804.629165520835
2019-06-28,11679.438350060458
2019-06-29,11854.537295204309
2019-06-30,11542.551910965278
2019-07-01,10688.3166698925
2019-07-02,10303.94725500368
2019-07-03,11345.214704756945
2019-07-04,11759.042504677083
2019-07-05,11139.493770149722
2019-07-06,11415.369265018246
2019-07-07,11311.476748027972
2019-07-08,11794.103580294362
2019-07-09,12513.873100013898
2019-07-10,12648.777229872221
2019-07-11,11583.33114395625
2019-07-12,11584.532266976355
2019-07-13,11428.59780370119
2019-07-14,10857.02663389106
2019-07-15,10417.313950106389
2019-07-16,10355.675152687838
2019-07-17,9577.424253618541
2019-07-18,10054.174637386319
2019-07-19,10472.448828593728
2019-07-20,10680.276549055905
2019-07-21,10577.614454422584
2019-07-22,10450.15757070691
2019-07-23,10070.725015713153
2019-07-24,9702.591536684678
2019-07-25,10016.95239891381
2019-07-26,9774.724239339519
2019-07-27,9728.204527019096
